"transaction_date","post_date","type","details","amount","currency"
"2025-06-28","2025-06-29","Purchase","EASYPARK CP9 (POS)","16.0","CAD"
"2025-06-28","2025-06-29","Purchase","LONDON DRUGS 19","5.53","CAD"
"2025-06-29","2025-06-29","Purchase","KOKOMO","19.9","CAD"
"2025-06-28","2025-06-29","Purchase","SAVE ON FOODS #903","24.5","CAD"
"2025-06-29","2025-06-29","Purchase","SQ *VASHTI ROSE ICE CREAM","13.02","CAD"
"2025-06-29","2025-06-29","Purchase","SWTCH ENERGY INC.","2.71","CAD"
"2025-06-29","2025-06-29","Purchase","INDIGO PARK-RESERVATIO","5.55","CAD"
"2025-06-30","2025-07-01","Purchase","BURGER FACTORY","25.17","CAD"
"2025-06-30","2025-07-01","Purchase","PRABU SWEETS","176.25","CAD"
"2025-06-30","2025-07-01","Purchase","ICBC #57921","2277.0","CAD"
"2025-06-30","2025-07-01","Purchase","AMZN MKTP CA*N38JE5QG2","11.49","CAD"
"2025-06-30","2025-07-01","Purchase","SURREY PARKS REC AND CUL","47.42","CAD"
"2025-06-30","2025-07-01","Purchase","SURREY PARKS REC AND CUL","47.42","CAD"
"2025-06-29","2025-07-01","Purchase","THRIFTY FOODS #9470","12.72","CAD"
"2025-07-01","2025-07-01","Purchase","ARTERYINK","81.38","CAD"
"2025-07-01","2025-07-01","Purchase","BCF - ONLINE SALES & BOOK","219.0","CAD"
"2025-07-01","2025-07-02","Purchase","DAISO CITY SQUARE SHOPPIN","14.84","CAD"
"2025-07-01","2025-07-02","Purchase","WHOLE FOODS MARKET","8.02","CAD"
"2025-07-01","2025-07-02","Purchase","BCF - NEWWESTMSTER QUEEN","22.04","CAD"
"2025-07-01","2025-07-02","Purchase","OLIVE FERTILITY","450.0","CAD"
"2025-07-01","2025-07-02","Purchase","OLIVE FERTILITY","450.0","CAD"
"2025-07-01","2025-07-02","Purchase","CITY SQUARE PROPERTY","4.25","CAD"
"2025-07-03","2025-07-03","Refund initiated","AMAZON.CA","-156.67","CAD"
"2025-07-03","2025-07-03","Refund settled","AMAZON.CA","156.67","CAD"
"2025-07-03","2025-07-03","Refund settled","AMAZON.CA","-156.67","CAD"
"2025-07-04","2025-07-04","Purchase","SQ *BRUTE BARBER CO.","50.4","CAD"
"2025-07-04","2025-07-04","Purchase","SQ *RED FISH BLUE FISH","39.9","CAD"
